full_text,jenis_cyberbullying,is_bullying,clean,target
@tanyakanrl Suami baru ibuku tuh ekonomi nya dibawah ibuku pendidikan juga agama juga bibit bibit bebet intinya dibawah ibu ku dan ayah kandung ku. Masa downgrade ayah ku S2 dosen alim selalu 5 waktu ke masjid rajin baca Al-Quran silaturahmi jalan pinter ,sara,1,suami baru ibu tuh ekonomi nya bawah ibu didik agama bibit bibit bebet inti bawah ibu ku ayah kandung ku masa downgrade ayah ku s dosen alim selalu waktu masjid rajin baca al quran silaturahmi jalan pinter,tidak_diketahui
@NSuwirtana62534 @JIBOW1007 @msaid_didu Isu fufufafa gagal isu skripsi gagal isu ijazah gagal dulu isu ras dan agama juga gagal. Udah kehabisan ide kali depresi.. jadi sekarang pilih isu ilmu hitam. downgrade banget wkwkwk,sara,1,isu fufufafa gagal isu skripsi gagal isu ijazah gagal dulu isu ras agama gagal udah habis ide kali depresi jadi sekarang pilih isu ilmu hitam downgrade banget wkwkwk,tidak_diketahui
@ARSIPAJA Gara gara temannya @Pakbhabin_id sholat yg tiang agama jadi downgrade yg tadinya kewajiban sekarang buat hukuman orang nyimeng,sara,1,gara gara teman sholat yg tiang agama jadi downgrade yg tadi wajib sekarang buat hukum orang nyimeng,tidak_diketahui
Paling gk suka klau agama jd tameng gini. Pola pikir org kyk gini itu aneh gk usah jauh ngomongin agama nmnya ngjak nikah ank org yg dulu dicukupi orgtua semaksimal mungkin gk mngkin mau downgrade tdk dicukupkn utk seumur hidup.Shrusny laki pny insting provide itu insting alami https://t.co/OcR2qNXiXU,sara,1,paling gk suka klau agama jd tameng gin pola pikir org kyk gin aneh gk usah jauh ngomongin agama nmnya ngjak nikah ank org yg dulu cukup orgtua maksimal mungkin gk mngkin mau downgrade tdk dicukupkn utk umur hidup shrusny laki pny insting provide insting alami,tidak_diketahui
@PaijoKhentirrr @FaktaBerita89 @MarioInferno @ProfOnline_id @Rizieq_Sangean @endoe21 @anthwf77 @DonatEntog @agama_nusantara @Angkasa_19 Sebaik nya semua ajaran apa pun itu di kaji apa menjunjung kemanusiaan engga ? Kalau engga ya tinggal kan saja. Apa gun,bukan cyberbullying,0,baik nya semua ajar apa kaji apa junjung manusia engga kalau engga tinggal kan apa gun,tidak_diketahui
Suka hati hang la mat. Hang nak downgrade nabi hang downgrade la sorang-sorang. Konon faham ilmu agama. Entah-entah pakar agama ahmadi.,sara,1,suka hati hang la mat hang nak downgrade nabi hang downgrade la sorang sorang konon faham ilmu agama entah entah pakar agama ahmadi,tidak_diketahui
Jarinya di gerus aja nder ndak eling bilang2 agama lain downgrade,ancaman,1,jari gerus aja nder ndak eling bilang agama downgrade,tidak_diketahui
@SammiSoh Tapi kan downgrade kalau upgrade sih ok . . Di islam udah diajarin wanita muslimah tdk bisa mnikah beda agama,sara,1,kan downgrade kalau upgrade sih islam udah diajarin wanita muslimah tdk mnikah beda agama,tidak_diketahui
@Pokokpangkal @ChomBieTanjung Downgrade sket..majalah mangga...,penghinaan,1,downgrade sket majalah mangga,tidak_diketahui
@GWirjawan @tirta_cipeng Selama 5 tahun ini pendidikan kita hancur curhatan dari guru bikin geleng kepala bener sistemnya downgrade iq dan akhlak siswa paling dirasakan yg sekolah negeri sampai banyak sekolah negeri tutup karena org tua menyekolahkan anak,penghinaan,1,lama tahun didik hancur curhatan guru bikin geleng kepala bener sistem downgrade iq akhlak siswa paling rasa yg sekolah negeri banyak sekolah negeri tutup org tua sekolah anak,tidak_diketahui
